MouseID,MouseLabel,DayIndex,TotalBoutTime_min,MostFrequentBoutDuration_min,NumberOfBouts,MeanRevsIngBoutWindow
1,SC01(Control),8,295,4,48,73.09152542372881
1,SC01(Control),9,310,4,38,80.90322580645162
1,SC01(Control),10,291,4,46,83.05498281786942
1,SC01(Control),11,219,1,32,81.80365296803653
1,SC01(Control),12,284,7,40,84.1830985915493
1,SC01(Control),13,270,5,36,91.86296296296297
1,SC01(Control),14,261,8,32,95.816091954023
1,SC01(Control),15,226,8,22,100.47787610619469
1,SC01(Control),16,313,3,36,99.33226837060703
1,SC01(Control),17,350,2,31,105.49714285714286
1,SC01(Control),18,314,6,39,100.64649681528662
1,SC01(Control),19,433,1,30,108.54272517321016
1,SC01(Control),20,281,9,24,110.8185053380783
1,SC01(Control),21,216,8,23,105.59722222222223
1,SC01(Control),22,176,4,23,99.27272727272727
2,LM45(SNr-DTA),8,425,4,67,67.84
2,LM45(SNr-DTA),9,403,3,54,70.20347394540943
2,LM45(SNr-DTA),10,465,5,56,80.14838709677419
2,LM45(SNr-DTA),11,478,4,60,81.3744769874477
2,LM45(SNr-DTA),12,517,2,62,84.00386847195358
2,LM45(SNr-DTA),13,454,3,50,92.9669603524229
2,LM45(SNr-DTA),14,506,3,46,100.7707509881423
2,LM45(SNr-DTA),15,434,4,44,104.01152073732719
2,LM45(SNr-DTA),16,495,11,40,103.86666666666666
2,LM45(SNr-DTA),17,386,5,50,106.78497409326425
2,LM45(SNr-DTA),18,340,5,40,111.44117647058823
2,LM45(SNr-DTA),19,343,2,37,109.7930029154519
2,LM45(SNr-DTA),20,345,2,40,108.61159420289854
2,LM45(SNr-DTA),21,363,4,36,112.89256198347107
2,LM45(SNr-DTA),22,303,1,37,107.97029702970298
3,SC02(GPi-DTA),8,683,1,149,26.00878477306003
3,SC02(GPi-DTA),9,461,1,92,26.31236442516269
3,SC02(GPi-DTA),10,560,7,69,32.816071428571426
3,SC02(GPi-DTA),11,517,1,90,32.866537717601545
3,SC02(GPi-DTA),12,658,1,92,34.79331306990881
3,SC02(GPi-DTA),13,540,1,58,36.97222222222222
3,SC02(GPi-DTA),14,652,1,67,41.719325153374236
3,SC02(GPi-DTA),15,578,4,59,43.53287197231834
3,SC02(GPi-DTA),16,375,1,82,34.18666666666667
3,SC02(GPi-DTA),17,302,1,127,24.225165562913908
3,SC02(GPi-DTA),18,354,1,145,23.533898305084747
3,SC02(GPi-DTA),19,376,1,138,21.18351063829787
3,SC02(GPi-DTA),20,438,1,119,27.228310502283104
3,SC02(GPi-DTA),21,494,2,83,37.4331983805668
3,SC02(GPi-DTA),22,496,2,85,42.034274193548384
